Date,Tier,OTM,ShortOTM,LongOTM,Safety,Premium,PnL,DaysHeld,Result,Risk,Side,VIX,ATR,Score,Size,Week,WeekCap,Year,Regime,date,score,bias,close,ema20,Anchor_Signal,Action,Filtered_PnL
2016-05-31,Normal,550,550,750,97.9,60,31.0,5,WIN,140.0,Bull Put,16.05,89.9,1,1.5,2016_22,300.0,2016,elevated,2016-05-31,4,STRONG BULL,8160.55,7922.068640424133,BULL,TRADE,31.0
2016-06-01,Wednesday-MW,600,600,800,99.1,50,24.0,5,WIN,150.0,Bull Put,15.84,87.4,1,0.75,2016_22,420.0,2016,normal,2016-06-01,4,STRONG BULL,8180.2,7946.652579431358,BULL,TRADE,24.0
2016-06-06,Monday-RW,600,600,800,99.5,45,20.9,6,WIN,155.0,Bull Put,15.36,81.4,0,0.75,2016_23,420.0,2016,normal,2016-06-06,4,STRONG BULL,8205.45,8015.3103490249105,BULL,TRADE,20.9
2016-06-07,Normal,550,550,750,98.9,60,31.0,6,WIN,140.0,Bull Put,14.87,81.9,1,1.5,2016_23,420.0,2016,normal,2016-06-07,4,STRONG BULL,8264.6,8039.052220546348,BULL,TRADE,31.0
2016-06-14,Normal,550,550,750,98.9,60,31.0,5,WIN,140.0,Bull Put,17.19,81.4,1,1.5,2016_24,300.0,2016,elevated,2016-06-14,2,BULL BIAS,8111.55,8088.8200037027955,NEUTRAL,TRADE,31.0
2016-06-15,Wednesday-MW,600,600,800,99.4,50,24.0,5,WIN,150.0,Bull Put,17.06,82.9,1,0.75,2016_24,300.0,2016,elevated,2016-06-15,2,BULL BIAS,8199.4,8099.3514319215765,NEUTRAL,TRADE,24.0
2016-06-20,Normal,550,550,750,98.2,60,31.0,6,WIN,140.0,Bull Put,17.52,87.9,0,1.5,2016_25,300.0,2016,elevated,2016-06-20,0,NEUTRAL,8235.25,8119.654904605343,BULL,TRADE,31.0
2016-06-21,Normal,550,550,750,98.5,60,31.0,6,WIN,140.0,Bull Put,17.26,85.5,0,1.5,2016_25,300.0,2016,elevated,2016-06-21,0,NEUTRAL,8208.4,8128.106818452454,BULL,TRADE,31.0
2016-06-27,Normal,550,550,750,95.7,60,31.0,5,WIN,140.0,Bull Put,18.53,102.9,1,1.5,2016_26,300.0,2016,elevated,2016-06-27,-1,NEUTRAL,8092.2,8135.953680758235,BEAR,TRADE,31.0
2016-06-28,Normal,550,550,750,96.3,60,31.0,5,WIN,140.0,Bull Put,17.73,99.4,0,1.5,2016_26,300.0,2016,elevated,2016-06-28,-1,NEUTRAL,8127.05,8135.105711162213,BEAR,TRADE,31.0
2016-07-04,Monday-RW,600,600,800,98.3,45,20.9,5,WIN,155.0,Bull Put,15.58,95.0,1,0.75,2016_27,420.0,2016,normal,2016-07-04,4,STRONG BULL,8370.4,8190.614906774291,BULL,TRADE,20.9
2016-07-05,Normal,550,550,750,97.5,60,31.0,5,WIN,140.0,Bull Put,15.36,92.5,1,1.5,2016_27,420.0,2016,normal,2016-07-05,4,STRONG BULL,8329.65,8203.856344224358,BULL,TRADE,31.0
2016-07-12,Normal,550,550,750,98.0,60,31.0,5,WIN,140.0,Bull Put,14.78,89.1,1,1.5,2016_28,420.0,2016,normal,2016-07-12,4,STRONG BULL,8516.15,8275.80118847426,BULL,TRADE,31.0
2016-07-13,Normal,550,550,750,98.4,60,31.0,5,WIN,140.0,Bull Put,15.33,86.2,2,1.5,2016_28,420.0,2016,normal,2016-07-13,4,STRONG BULL,8504.75,8297.605837190997,BULL,TRADE,31.0
2016-07-18,Monday-RW,600,600,800,99.2,45,20.9,5,WIN,155.0,Bull Put,15.99,85.5,1,0.75,2016_29,420.0,2016,normal,2016-07-18,4,STRONG BULL,8497.35,8358.106439617,BULL,TRADE,20.9
2016-07-19,NarrowCondor,400+400,400,600,92.9,220,116.0,6,WIN,180.0,Condor,15.8,83.8,1,1.0,2016_29,420.0,2016,normal,2016-07-19,4,STRONG BULL,8535.4,8374.991540605857,NEUTRAL,TRADE,116.0
2016-07-25,Monday-RW,600,600,800,99.4,45,20.9,5,WIN,155.0,Bull Put,15.72,82.9,1,0.75,2016_30,420.0,2016,normal,2016-07-25,4,STRONG BULL,8630.4,8437.756590429379,BULL,TRADE,20.9
2016-07-26,Normal,550,550,750,98.9,60,31.0,5,WIN,140.0,Bull Put,15.62,81.8,0,1.5,2016_30,420.0,2016,normal,2016-07-26,4,STRONG BULL,8584.7,8451.751200864675,BULL,TRADE,31.0
2016-08-01,Monday-RW,600,600,800,99.5,45,20.9,5,WIN,155.0,Bull Put,15.18,81.1,0,0.75,2016_31,420.0,2016,normal,2016-08-01,4,STRONG BULL,8647.15,8514.614958005592,BULL,TRADE,20.9
2016-08-02,Normal,550,550,750,99.0,60,31.0,5,WIN,140.0,Bull Put,15.69,80.7,0,1.5,2016_31,420.0,2016,normal,2016-08-02,2,BULL BIAS,8627.65,8525.380200100297,BULL,TRADE,31.0
2016-08-05,Near-VC,700,700,900,99.8,80,44.0,5,WIN,120.0,Bull Put,14.35,85.6,0,0.75,2016_31,420.0,2016,normal,2016-08-05,2,BULL BIAS,8679.3,8544.367486501234,BULL,TRADE,44.0
2016-08-08,Monday-RW,600,600,800,99.4,45,20.9,6,WIN,155.0,Bull Put,14.59,82.6,0,0.75,2016_32,420.0,2016,normal,2016-08-08,2,BULL BIAS,8700.25,8559.213440167783,BULL,TRADE,20.9
2016-08-09,NarrowCondor,400+400,400,600,93.1,220,116.0,6,WIN,180.0,Condor,14.54,83.1,0,1.0,2016_32,420.0,2016,normal,2016-08-09,2,BULL BIAS,8670.55,8569.816922056565,BULL,TRADE,116.0
2016-08-16,NarrowCondor,400+400,400,600,92.7,220,116.0,5,WIN,180.0,Condor,14.18,84.4,0,1.0,2016_33,420.0,2016,normal,2016-08-16,2,BULL BIAS,8638.9,8585.576499500381,BULL,TRADE,116.0
2016-08-18,Normal,550,550,750,98.9,60,31.0,6,WIN,140.0,Bull Put,14.55,81.8,0,1.5,2016_33,420.0,2016,normal,2016-08-18,2,BULL BIAS,8668.7,8596.683256960629,BULL,TRADE,31.0
2016-08-22,Monday-RW,600,600,800,99.6,45,20.9,5,WIN,155.0,Bull Put,14.24,78.7,0,0.75,2016_34,420.0,2016,normal,2016-08-22,0,NEUTRAL,8626.9,8605.633006264823,NEUTRAL,TRADE,20.9
2016-08-23,NarrowCondor,400+400,400,600,94.9,220,116.0,7,WIN,180.0,Condor,13.9,77.4,0,1.0,2016_34,420.0,2016,normal,2016-08-23,0,NEUTRAL,8639.3,8608.839386620553,NEUTRAL,TRADE,116.0
2016-08-29,Monday-RW,600,600,800,99.7,45,20.9,5,WIN,155.0,Bull Put,13.17,76.4,0,0.75,2016_35,420.0,2016,normal,2016-08-29,0,NEUTRAL,8619.2,8608.09347393204,BEAR,TRADE,20.9
2016-08-30,Normal,550,550,750,99.0,60,31.0,5,WIN,140.0,Bull Put,13.02,80.3,0,1.5,2016_35,420.0,2016,normal,2016-08-30,2,BULL BIAS,8745.1,8621.14171450994,BULL,TRADE,31.0
2016-09-06,Normal,550,550,750,98.9,60,31.0,7,WIN,140.0,Bull Put,12.75,81.2,2,1.5,2016_36,420.0,2016,normal,2016-09-06,4,STRONG BULL,8944.2,8691.48649059111,BULL,TRADE,31.0
2016-09-07,Normal,550,550,750,99.1,60,31.0,7,WIN,140.0,Bull Put,13.15,79.4,2,1.5,2016_36,420.0,2016,normal,2016-09-07,4,STRONG BULL,8923.95,8713.625872439578,BULL,TRADE,31.0
2016-09-14,Normal,550,550,750,98.8,60,31.0,5,WIN,140.0,Bull Put,14.76,82.7,2,1.5,2016_37,420.0,2016,normal,2016-09-14,1,NEUTRAL,8739.2,8744.539566447098,NEUTRAL,TRADE,31.0
2016-09-15,NarrowCondor,400+400,400,600,94.1,220,116.0,6,WIN,180.0,Condor,14.68,80.1,1,1.0,2016_37,420.0,2016,normal,2016-09-15,2,BULL BIAS,8748.6,8744.926274404517,NEUTRAL,TRADE,116.0
2016-09-19,Monday-RW,600,600,800,99.6,45,20.9,6,WIN,155.0,Bull Put,14.94,79.2,1,0.75,2016_38,420.0,2016,normal,2016-09-19,2,BULL BIAS,8809.05,8754.124455918436,BULL,TRADE,20.9
2016-09-20,Normal,550,550,750,99.3,60,31.0,5,WIN,140.0,Bull Put,14.78,77.6,1,1.5,2016_38,420.0,2016,normal,2016-09-20,2,BULL BIAS,8774.05,8756.022126783346,BULL,TRADE,31.0
2016-09-23,Near-VC,700,700,900,99.9,80,44.0,6,WIN,120.0,Bull Put,13.25,78.6,0,0.75,2016_38,420.0,2016,normal,2016-09-23,2,BULL BIAS,8825.15,8773.102058914475,BULL,TRADE,44.0
2016-09-27,NarrowCondor,400+400,400,600,93.9,220,116.0,6,WIN,180.0,Condor,14.25,80.6,0,1.0,2016_39,420.0,2016,normal,2016-09-27,-1,NEUTRAL,8720.75,8763.738646866497,NEUTRAL,TRADE,116.0
2016-09-28,Wednesday-MW,600,600,800,99.6,50,24.0,5,WIN,150.0,Bull Put,13.85,79.3,0,0.75,2016_39,420.0,2016,normal,2016-09-28,-1,NEUTRAL,8745.15,8761.968299545879,BEAR,TRADE,24.0
2016-10-03,VIX-Collapse,700,700,900,99.6,100,62.0,7,WIN,100.0,Bull Put,15.62,92.6,0,1.5,2016_40,420.0,2016,normal,2016-10-03,-2,BEAR BIAS,8740.25,8736.341482192547,BEAR,TRADE,62.0
2016-10-04,Near-VC,700,700,900,99.7,80,44.0,7,WIN,120.0,Bull Put,14.99,89.3,0,0.75,2016_40,420.0,2016,normal,2016-10-04,0,NEUTRAL,8771.35,8739.675626745637,NEUTRAL,TRADE,44.0
2016-10-06,Cautious,650,650,850,99.4,40,16.0,6,WIN,160.0,Bull Put,14.84,89.8,0,1.5,2016_40,420.0,2016,normal,2016-10-06,-3,STRONG BEAR,8712.4,8737.077948007958,BULL,TRADE,16.0
2016-10-10,Monday-RW,600,600,800,99.2,45,20.9,6,WIN,155.0,Bull Put,14.29,84.9,0,0.75,2016_41,420.0,2016,normal,2016-10-10,-3,STRONG BEAR,8714.6,8731.380361067739,BEAR,TRADE,20.9
2016-10-14,NarrowCondor,400+400,400,600,91.2,220,116.0,7,WIN,180.0,Condor,14.89,88.5,1,1.0,2016_41,420.0,2016,normal,2016-10-14,-3,STRONG BEAR,8586.45,8703.80523887858,BEAR,TRADE,116.0
2016-10-18,NarrowCondor,400+400,400,600,88.9,220,116.0,5,WIN,180.0,Condor,14.54,94.9,0,1.0,2016_42,420.0,2016,normal,2016-10-18,-3,STRONG BEAR,8667.7,8684.95077377589,BEAR,TRADE,116.0
2016-10-19,Wednesday-MW,600,600,800,98.6,50,24.0,5,WIN,150.0,Bull Put,14.61,92.4,0,0.75,2016_42,420.0,2016,normal,2016-10-19,-3,STRONG BEAR,8655.55,8682.150700082948,NEUTRAL,TRADE,24.0
2016-10-24,Monday-RW,600,600,800,99.2,45,20.9,7,WIN,155.0,Bull Put,14.33,85.8,1,0.75,2016_43,420.0,2016,normal,2016-10-24,0,NEUTRAL,8711.65,8687.142754763949,NEUTRAL,TRADE,20.9
2016-10-25,NarrowCondor,400+400,400,600,92.9,220,116.0,7,WIN,180.0,Condor,14.48,83.8,0,1.0,2016_43,420.0,2016,normal,2016-10-25,0,NEUTRAL,8692.9,8687.691063834049,BULL,TRADE,116.0
2016-11-03,Bear-Call,550,550,750,98.9,60,32.0,6,WIN,140.0,Bear Call,16.47,82.2,0,1.5,2016_44,300.0,2016,elevated,2016-11-03,-4,STRONG BEAR,8483.55,8632.314159819198,BEAR,TRADE,32.0
2016-11-08,Bear-Call,550,550,750,98.6,60,32.0,5,WIN,140.0,Bear Call,16.77,84.4,0,1.5,2016_45,300.0,2016,elevated,2016-11-08,-4,STRONG BEAR,8542.15,8595.994128301465,NEUTRAL,TRADE,32.0
2016-11-24,Bear-Call,550,550,750,91.7,60,32.0,7,WIN,140.0,Bear Call,17.16,119.7,2,1.0,2016_47,300.0,2016,elevated,2016-11-24,-4,STRONG BEAR,7974.25,8263.898659735882,BEAR,TRADE,32.0
2016-11-29,Normal,550,550,750,92.7,60,31.0,5,WIN,140.0,Bull Put,17.71,115.8,1,1.0,2016_48,300.0,2016,elevated,2016-11-29,-2,BEAR BIAS,8147.0,8228.293403210064,NEUTRAL,TRADE,31.0
2016-11-30,Normal,550,550,750,93.1,60,31.0,6,WIN,140.0,Bull Put,16.85,114.3,2,1.0,2016_48,300.0,2016,elevated,2016-11-30,-2,BEAR BIAS,8214.6,8226.98926957101,NEUTRAL,TRADE,31.0
2016-12-05,Normal,550,550,750,94.2,60,31.0,5,WIN,140.0,Bull Put,17.29,109.8,0,1.0,2016_49,300.0,2016,elevated,2016-12-05,-2,BEAR BIAS,8139.05,8204.073609760022,BEAR,TRADE,31.0
2016-12-06,Normal,550,550,750,95.1,60,31.0,5,WIN,140.0,Bull Put,17.11,105.4,0,1.5,2016_49,300.0,2016,elevated,2016-12-06,-2,BEAR BIAS,8138.35,8197.814218354306,NEUTRAL,TRADE,31.0
2016-12-09,Near-VC,700,700,900,99.0,80,44.0,7,WIN,120.0,Bull Put,15.07,103.0,1,0.75,2016_49,420.0,2016,normal,2016-12-09,1,NEUTRAL,8255.35,8200.652696651785,BULL,TRADE,44.0
2016-12-13,NarrowCondor,400+400,400,600,86.7,220,116.0,7,WIN,180.0,Condor,15.92,100.7,0,1.0,2016_50,420.0,2016,normal,2016-12-13,1,NEUTRAL,8212.8,8199.30617571722,BEAR,TRADE,116.0
2016-12-15,Bear-Call,550,550,750,96.5,60,32.0,5,WIN,140.0,Bear Call,15.66,98.5,0,1.5,2016_50,420.0,2016,normal,2016-12-15,-2,BEAR BIAS,8154.65,8193.630905745842,BULL,TRADE,32.0
2016-12-19,Monday-RW,600,600,800,98.7,45,20.9,6,WIN,155.0,Bull Put,14.84,91.4,0,0.75,2016_51,420.0,2016,normal,2016-12-19,-2,BEAR BIAS,8101.45,8180.191739170633,BEAR,TRADE,20.9
2016-12-20,Bear-Call,550,550,750,98.0,60,32.0,5,WIN,140.0,Bear Call,14.54,89.3,0,1.5,2016_51,420.0,2016,normal,2016-12-20,-2,BEAR BIAS,8090.55,8171.654430678192,BEAR,TRADE,32.0
2016-12-27,Bear-Call,550,550,750,97.7,60,32.0,7,WIN,140.0,Bear Call,15.08,91.2,0,1.5,2016_52,420.0,2016,normal,2016-12-27,-4,STRONG BEAR,8030.9,8101.355159078543,BEAR,TRADE,32.0
2016-12-28,Wednesday-MW,600,600,800,98.8,50,24.0,5,WIN,150.0,Bull Put,15.54,89.9,0,0.75,2016_52,420.0,2016,normal,2016-12-28,-4,STRONG BEAR,8036.75,8095.2022867853475,NEUTRAL,TRADE,24.0
2017-01-02,Monday-RW,600,600,800,98.9,45,20.9,5,WIN,155.0,Bull Put,15.83,89.1,1,0.75,2017_01,420.0,2017,normal,2017-01-02,1,NEUTRAL,8179.2,8110.785075592345,BULL,TRADE,20.9
2017-01-03,NarrowCondor,400+400,400,600,91.5,220,116.0,7,WIN,180.0,Condor,15.96,87.8,0,1.0,2017_01,420.0,2017,normal,2017-01-03,1,NEUTRAL,8189.05,8118.238877916883,BULL,TRADE,116.0
2017-01-09,Monday-RW,600,600,800,99.5,45,20.9,5,WIN,155.0,Bull Put,15.48,79.9,0,0.75,2017_02,420.0,2017,normal,2017-01-09,3,STRONG BULL,8234.55,8157.894754803843,BULL,TRADE,20.9
2017-01-10,NarrowCondor,400+400,400,600,94.6,220,116.0,7,WIN,180.0,Condor,15.2,78.4,0,1.0,2017_02,420.0,2017,normal,2017-01-10,3,STRONG BULL,8290.3,8170.504778155859,BULL,TRADE,116.0
2017-01-17,Normal,550,550,750,99.4,60,31.0,5,WIN,140.0,Bull Put,15.39,74.9,1,1.5,2017_03,420.0,2017,normal,2017-01-17,4,STRONG BULL,8388.8,8260.240609325514,BULL,TRADE,31.0
2017-01-18,Wednesday-MW,600,600,800,99.8,50,24.0,5,WIN,150.0,Bull Put,15.18,74.6,1,0.75,2017_03,420.0,2017,normal,2017-01-18,4,STRONG BULL,8413.75,8274.860551294512,BULL,TRADE,24.0
2017-01-23,Monday-RW,600,600,800,99.8,45,20.9,5,WIN,155.0,Bull Put,15.91,73.7,0,0.75,2017_04,420.0,2017,normal,2017-01-23,4,STRONG BULL,8398.0,8304.721220314119,NEUTRAL,TRADE,20.9
2017-01-24,Normal,550,550,750,99.5,60,31.0,5,WIN,140.0,Bull Put,15.29,74.3,0,1.5,2017_04,420.0,2017,normal,2017-01-24,4,STRONG BULL,8476.75,8321.104913617535,BULL,TRADE,31.0
2017-01-31,Normal,550,550,750,99.4,60,31.0,5,WIN,140.0,Bull Put,16.83,76.4,0,1.5,2017_05,300.0,2017,elevated,2017-01-31,4,STRONG BULL,8556.55,8414.973329258646,BULL,TRADE,31.0
2017-02-01,VIX-Collapse,700,700,900,99.8,100,62.0,5,WIN,100.0,Bull Put,13.97,84.1,1,1.5,2017_05,420.0,2017,normal,2017-02-01,4,STRONG BULL,8715.5,8443.5949169483,NEUTRAL,TRADE,62.0
2017-02-02,VIX-Collapse,700,700,900,99.9,100,62.0,5,WIN,100.0,Bull Put,13.52,83.2,0,1.5,2017_05,420.0,2017,normal,2017-02-02,4,STRONG BULL,8722.3,8470.138258191319,BULL,TRADE,62.0
2017-02-06,Monday-RW,600,600,800,99.6,45,20.9,5,WIN,155.0,Bull Put,13.4,79.8,0,0.75,2017_06,420.0,2017,normal,2017-02-06,4,STRONG BULL,8796.1,8524.310683009218,BULL,TRADE,20.9
2017-02-07,Normal,550,550,750,99.2,60,31.0,5,WIN,140.0,Bull Put,13.51,78.8,1,1.5,2017_06,420.0,2017,normal,2017-02-07,4,STRONG BULL,8770.75,8547.781094151198,BULL,TRADE,31.0
2017-02-13,Monday-RW,600,600,800,99.7,45,20.9,5,WIN,155.0,Bull Put,13.69,77.4,0,0.75,2017_07,420.0,2017,normal,2017-02-13,4,STRONG BULL,8802.05,8627.9160199242,BULL,TRADE,20.9
2017-02-14,NarrowCondor,400+400,400,600,95.5,220,116.0,7,WIN,180.0,Condor,13.8,75.3,0,1.5,2017_07,420.0,2017,normal,2017-02-14,4,STRONG BULL,8784.15,8642.795446598086,BULL,TRADE,116.0
2017-02-20,Monday-RW,600,600,800,99.6,45,20.9,5,WIN,155.0,Bull Put,13.61,77.9,0,0.75,2017_08,420.0,2017,normal,2017-02-20,2,BULL BIAS,8884.25,8697.346903790649,BULL,TRADE,20.9
2017-02-21,Normal,550,550,750,99.3,60,31.0,5,WIN,140.0,Bull Put,13.53,76.6,0,1.5,2017_08,420.0,2017,normal,2017-02-21,2,BULL BIAS,8903.25,8716.956722477253,BULL,TRADE,31.0
2017-02-27,Monday-RW,600,600,800,99.8,45,20.9,5,WIN,155.0,Bull Put,13.68,72.8,0,0.75,2017_09,420.0,2017,normal,2017-02-27,2,BULL BIAS,8896.45,8769.990806551288,BULL,TRADE,20.9
2017-02-28,NarrowCondor,400+400,400,600,96.7,220,116.0,6,WIN,180.0,Condor,13.79,71.0,0,1.5,2017_09,420.0,2017,normal,2017-02-28,2,BULL BIAS,8875.2,8780.01072973688,NEUTRAL,TRADE,116.0
2017-03-06,Monday-RW,600,600,800,99.8,45,20.9,5,WIN,155.0,Bull Put,13.64,72.3,0,0.75,2017_10,420.0,2017,normal,2017-03-06,2,BULL BIAS,8962.6,8828.2199665265,BULL,TRADE,20.9
2017-03-07,Normal,550,550,750,99.7,60,31.0,5,WIN,140.0,Bull Put,13.88,70.4,0,1.5,2017_10,420.0,2017,normal,2017-03-07,2,BULL BIAS,8944.95,8839.337112571595,BULL,TRADE,31.0
2017-03-15,Near-VC,700,700,900,100.0,80,44.0,6,WIN,120.0,Bull Put,12.42,73.5,0,0.75,2017_11,420.0,2017,normal,2017-03-15,2,BULL BIAS,9082.6,8901.904978697004,BULL,TRADE,44.0
2017-03-16,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.91,73.6,1,0.75,2017_11,420.0,2017,ultra-calm,2017-03-16,4,STRONG BULL,9157.3,8926.228314059194,BULL,TRADE,12.5
2017-03-20,Monday-RW,600,600,800,99.8,45,20.9,6,WIN,155.0,Bull Put,12.02,71.5,1,0.75,2017_12,420.0,2017,normal,2017-03-20,4,STRONG BULL,9129.55,8965.059458901062,BULL,TRADE,20.9
2017-03-21,Aggressive,450,450,650,98.4,100,65.0,6,WIN,100.0,Bull Put,11.94,70.7,0,1.5,2017_12,600.0,2017,ultra-calm,2017-03-21,4,STRONG BULL,9126.1,8980.396653291436,NEUTRAL,TRADE,65.0
2017-03-23,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.84,73.1,0,0.75,2017_12,600.0,2017,ultra-calm,2017-03-23,2,BULL BIAS,9081.8,8994.125831832673,NEUTRAL,TRADE,12.5
2017-03-24,NarrowCondor,400+400,400,600,96.5,220,116.0,7,WIN,180.0,Condor,11.98,71.6,0,1.5,2017_12,600.0,2017,ultra-calm,2017-03-24,2,BULL BIAS,9100.4,9004.247181181941,BULL,TRADE,116.0
2017-03-27,Monday-RW,600,600,800,99.8,45,20.9,5,WIN,155.0,Bull Put,12.44,71.9,0,0.75,2017_13,420.0,2017,normal,2017-03-27,2,BULL BIAS,9052.9,9008.880782974136,NEUTRAL,TRADE,20.9
2017-03-28,NarrowCondor,400+400,400,600,96.7,220,116.0,7,WIN,180.0,Condor,12.12,70.8,0,1.5,2017_13,420.0,2017,normal,2017-03-28,2,BULL BIAS,9108.3,9018.349279833743,BULL,TRADE,116.0
2017-04-03,Monday-RW,600,600,800,99.9,45,20.9,5,WIN,155.0,Bull Put,11.49,65.7,1,0.75,2017_14,420.0,2017,ultra-calm,2017-04-03,2,BULL BIAS,9243.0,9072.77075342688,BULL,TRADE,20.9
2017-04-05,Butterfly,±200,200,500,83.0,180,156.0,4,WIN,40.0,Butterfly,11.55,65.2,0,0.75,2017_14,600.0,2017,ultra-calm,2017-04-05,4,STRONG BULL,9256.9,9090.306872148129,BULL,TRADE,156.0
2017-04-06,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.29,64.0,0,0.75,2017_14,600.0,2017,ultra-calm,2017-04-06,4,STRONG BULL,9256.65,9106.149074800689,BULL,TRADE,12.5
2017-04-07,Friday-SNP,600,600,800,100.0,42,16.4,4,WIN,158.0,Bull Put,11.69,64.3,0,0.75,2017_14,600.0,2017,ultra-calm,2017-04-07,2,BULL BIAS,9196.9,9114.792020057766,BULL,TRADE,16.4
2017-04-10,Butterfly,±200,200,500,84.2,180,156.0,4,WIN,40.0,Butterfly,11.62,63.3,0,0.75,2017_15,600.0,2017,ultra-calm,2017-04-10,2,BULL BIAS,9176.8,9120.697541957026,NEUTRAL,TRADE,156.0
2017-04-11,NarrowCondor,400+400,400,600,98.2,220,116.0,6,WIN,180.0,Condor,11.4,63.7,0,1.5,2017_15,600.0,2017,ultra-calm,2017-04-11,2,BULL BIAS,9233.8,9131.469204627785,NEUTRAL,TRADE,116.0
2017-04-12,Wednesday-MW,600,600,800,100.0,50,24.0,6,WIN,150.0,Bull Put,11.63,65.1,0,0.75,2017_15,600.0,2017,ultra-calm,2017-04-12,2,BULL BIAS,9201.05,9138.095947044187,NEUTRAL,TRADE,24.0
2017-04-13,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.58,64.6,0,0.75,2017_15,600.0,2017,ultra-calm,2017-04-13,2,BULL BIAS,9147.3,9138.972523516168,NEUTRAL,TRADE,12.5
2017-04-17,Butterfly,±200,200,500,84.6,180,156.0,3,WIN,40.0,Butterfly,11.89,62.8,0,0.75,2017_16,600.0,2017,ultra-calm,2017-04-17,2,BULL BIAS,9139.35,9139.008473657485,NEUTRAL,TRADE,156.0
2017-04-19,Wednesday-MW,600,600,800,99.9,50,24.0,5,WIN,150.0,Bull Put,12.22,65.5,0,0.75,2017_16,420.0,2017,normal,2017-04-19,1,NEUTRAL,9114.05,9133.308977302386,NEUTRAL,TRADE,24.0
2017-04-20,Thursday-EXP,550,550,750,100.0,35,12.5,1,WIN,165.0,Bull Put,11.56,63.4,0,0.75,2017_16,600.0,2017,ultra-calm,2017-04-20,2,BULL BIAS,9136.1,9133.574788987873,BEAR,TRADE,12.5
